 DOMAIN,APPIDFROM,FQANFROM,FQANTO,APPIDTO,SYSFUNCTIONS,SYSTYPE,DWOR,SYSLIFECYCLE,SYSDATE,LEVEL OF INTEGRATION,INTTYPE,INTLIFECYCLE,INTDATE,INTERESTED PARTY,ACCOUNT-PRODUCT,TRANSACTION,ORGANIZATION,POSITION,REFERENCE,GRAIN,PERIODICITY,FREQUENCY,STATE,DATE,RDR,RDT,Found in Deloitte,Found in other Reference, ,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),CONSUMER_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),CONSUMER_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Access,*ACCESS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Access,*ACCESS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Access,*ACCESS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Access,*ACCESS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Access,*ACCESS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Access,*ACCESS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Access,*ACCESS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Access,*ACCESS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,*BRADS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,*BRADS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,*BRADS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,*BRADS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,*BRADS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,*BRADS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,*BRADS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),BRADS,*BRADS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,*COGNOS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,*COGNOS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,*COGNOS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,*COGNOS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,*COGNOS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,*COGNOS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,*COGNOS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,*COGNOS,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),GL_DATA_F,*GL-D-F,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),GL_DATA_F,*GL-D-F,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),GL_DATA_F,*GL-D-F,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),GL_DATA_F,*GL-D-F,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),GL_DATA_F,*GL-D-F,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),GL_DATA_F,*GL-D-F,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),GL_DATA_F,*GL-D-F,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),GL_DATA_F,*GL-D-F,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),SQL Assistant,*SQLA,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
Commercial Credit,ECD,CAR (F_COMMERCIAL),SQL Assistant,*SQLA,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping,,,
