Commercial Credit,ACE,ACE,CDSL,3154,Data Servicer,Enterprise Analytic App,N/A,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ACE,ACE,CDSL,3154,Data Servicer,Enterprise Analytic App,N/A,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ACE,ACE,CDSL,3154,Data Servicer,Enterprise Analytic App,N/A,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,3155,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,3155,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,3155,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,3155,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,3155,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,3155,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,3155,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_COMMERCIAL),Cognos,3155,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Entity,N/A,N/A,N/A,N/A,Hierarchy,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,ECD,CAR (F_CONSUMER),Cognos,3155,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Individual Party,Instruments,N/A,N/A,Deposit,N/A,Atomic,End-of-Month,Monthly,Active,N/A,N,Y,WFC Consumer_GL Credit Risk Architecture 07112014_v2,ERA SIMDOT Interfaces
Commercial Credit,ECD,CAR (F_CONSUMER),Cognos,3155,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Individual Party,N/A,N/A,Organization,N/A,Geography,Atomic,End-of-Month,Monthly,Active,N/A,N,Y,WFC Consumer_GL Credit Risk Architecture 07112014_v2,ERA SIMDOT Interfaces
Commercial Credit,ECD,GL_DATA_F,Cognos,3155,Data Servicer,Enterprise Analytic App,N/A,Active,N/A,Aggregate,Automated,Active,N/A,Individual Party,Instruments,N/A,N/A,Deposit,N/A,Atomic,End-of-Month,Monthly,Active,N/A,N,Y,WFC Consumer_GL Credit Risk Architecture 07112014_v2,ERA SIMDOT Interfaces
Commercial Credit,ECD,CAR (F_CONSUMER),GL_DATA_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Individual Party,Instruments,N/A,N/A,Deposit,N/A,Atomic,End-of-Month,Monthly,Active,N/A,N,Y,WFC Consumer_GL Credit Risk Architecture 07112014_v2,ERA SIMDOT Interfaces
Commercial Credit,ECD,CAR (F_CONSUMER),GL_DATA_F,ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Individual Party,N/A,N/A,Organization,N/A,Geography,Atomic,End-of-Month,Monthly,Active,N/A,N,Y,WFC Consumer_GL Credit Risk Architecture 07112014_v2,ERA SIMDOT Interfaces
Commercial Credit,EIW,CDSL,CAR (F_COMMERCIAL),ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,Instruments,N/A,N/A,Deposit,N/A,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,EIW,CDSL,CAR (F_COMMERCIAL),ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,Deposit,Industry,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
Commercial Credit,EIW,CDSL,CAR (F_COMMERCIAL),ECD,Data Broker,Data Warehouse of Record,Data Source Layer,Active,N/A,Aggregate,Automated,Active,N/A,Business Party,N/A,N/A,N/A,Deposit,Rating,Aggregated,End-of-Month,Monthly,Active,N/A,N,Y,WFC Commercial Credit Risk Architecture 07112014_v2,ACE System LOB Product Mapping
